Name,Site type,Community,Location
Standing Stone S of Llwyn-Du Farm,Standing stone,Llangadog,"51°54′10″N 3°55′35″W﻿ / ﻿51.9027°N 3.9265°W, SN675244"
Standing Stone NNW of Clomendy,Standing stone,Llangain,"51°48′32″N 4°20′28″W﻿ / ﻿51.809°N 4.3411°W, SN386148"
Clos-Teg Standing Stones,Standing stone,Llangyndeyrn,"51°48′45″N 4°14′32″W﻿ / ﻿51.8124°N 4.2421°W, SN455150"
Gwempa Standing Stone,Standing stone,Llangyndeyrn,"51°46′38″N 4°15′19″W﻿ / ﻿51.7772°N 4.2553°W, SN445111"
Mynydd Llangyndeyrn Round Cairns,Standing stone,Llangyndeyrn,"51°47′55″N 4°12′00″W﻿ / ﻿51.7986°N 4.2°W, SN483133"
Pen Celli Standing Stone,Standing stone,Llangyndeyrn,"51°48′04″N 4°15′53″W﻿ / ﻿51.801°N 4.2647°W, SN439137"
Standing Stone NE of Halfway House,Standing stone,Llangyndeyrn,"51°47′10″N 4°14′44″W﻿ / ﻿51.7861°N 4.2456°W, SN452120"
Meini Llwydion Group of Standing Stones,Standing stone,Llangynog,"51°47′56″N 4°26′45″W﻿ / ﻿51.7988°N 4.4458°W, SN314139"
Bryn Maen Standing Stone,Standing stone,Llannon,"51°44′27″N 4°05′38″W﻿ / ﻿51.7409°N 4.0939°W, SN555067"
Ffos-y-Maen Standing Stone,Standing stone,Llanpumsaint,"51°55′50″N 4°18′27″W﻿ / ﻿51.9306°N 4.3074°W, SN414283"
Maen Llwyd Standing Stone,Standing stone,Llansteffan,"51°47′47″N 4°22′44″W﻿ / ﻿51.7964°N 4.3789°W, SN360135"
Maen Melyn Standing Stone,Standing stone,Llansteffan,"51°47′22″N 4°23′53″W﻿ / ﻿51.7894°N 4.398°W, SN347127"
Maen Gwyn Hir,Standing stone,Llanwinio,"51°56′31″N 4°33′47″W﻿ / ﻿51.942°N 4.5631°W, SN239301"
Pant-Teg Standing Stone,Standing stone,Llanybydder,"52°02′44″N 4°06′42″W﻿ / ﻿52.0456°N 4.1117°W, SN552406"
Hirfaen Standing Stone,Standing stone,Llanycrwys,"52°05′57″N 4°00′34″W﻿ / ﻿52.0993°N 4.0094°W, SN624464"
Mynydd Myddfai Standing Stones,Standing stone,Myddfai,"51°56′28″N 3°44′14″W﻿ / ﻿51.9411°N 3.7371°W, SN806283"
Lower Court Standing Stone,Standing stone,St Clears,"51°48′24″N 4°27′21″W﻿ / ﻿51.8066°N 4.4558°W, SN307148"
Trefenty Standing Stone,Standing stone,St Clears,"51°47′45″N 4°27′36″W﻿ / ﻿51.7958°N 4.4599°W, SN304136"
Is-Coed Standing Stone,Standing stone,St Ishmael,"51°46′33″N 4°20′54″W﻿ / ﻿51.7759°N 4.3483°W, SN380111"
Round Barrow 200m SSW of Felin-Wen-Isaf,Round barrow,Abergwili,"51°52′05″N 4°14′11″W﻿ / ﻿51.8681°N 4.2364°W, SN461212"
Crug Pant y Bugail round barrow,Round barrow,Abernant,"51°53′47″N 4°23′04″W﻿ / ﻿51.8965°N 4.3844°W, SN360246"
Crug Gorllwyn Round Barrow,Round barrow,Cenarth,"51°58′47″N 4°26′42″W﻿ / ﻿51.9798°N 4.4449°W, SN321340"
Moelfre Round Barrows,Round barrow,Cenarth,"51°59′54″N 4°26′23″W﻿ / ﻿51.9982°N 4.4396°W, SN326361"
Burnt Mound on Esgair Ferchon,Burnt mound,Cilycwm,"52°04′17″N 3°51′46″W﻿ / ﻿52.0713°N 3.8628°W, SN724430"
Cairns & Stone Circle S of Pen-y-Raglan-Wynt,Ring cairn,Cilycwm,"52°07′41″N 3°50′47″W﻿ / ﻿52.1281°N 3.8465°W, SN736493"
Crugiau Merched Cairns,Round cairn,Cilycwm,"52°05′36″N 3°52′00″W﻿ / ﻿52.0934°N 3.8667°W, SN722455"
Nantiwrch round barrow,Round barrow,Cilycwm,"52°02′19″N 3°52′54″W﻿ / ﻿52.0386°N 3.8817°W, SN710394"
Troedrhiwhir Mountain ring cairn,Ring cairn,Cilycwm,"52°06′50″N 3°49′45″W﻿ / ﻿52.1139°N 3.8292°W, SN748477"
Cairn Circle 585m NE of Meini Gwyr,Round barrow,Cilymaenllwyd,"51°54′39″N 4°41′50″W﻿ / ﻿51.9107°N 4.6973°W, SN145270"
Castell Garw,Henge,Cilymaenllwyd,"51°54′35″N 4°41′42″W﻿ / ﻿51.9098°N 4.695°W, SN147269"
Earthwork 125m South West of Meini Gwyr,Ring cairn,Cilymaenllwyd,"51°54′21″N 4°42′14″W﻿ / ﻿51.9058°N 4.7039°W, SN140264"
Meini Gwyr,Henge,Cilymaenllwyd,"51°54′25″N 4°42′11″W﻿ / ﻿51.9069°N 4.7031°W, SN141266"
Pant y Menyn Round Barrow,Round barrow,Cilymaenllwyd,"51°54′08″N 4°41′59″W﻿ / ﻿51.9023°N 4.6998°W, SN143260"
"Round Barrow SE of Goodwins Row, Efailwen",Round barrow,Cilymaenllwyd,"51°54′05″N 4°42′22″W﻿ / ﻿51.9014°N 4.7061°W, SN139259"
"Tumulus N of Goodwins Row, Efailwen",Ring cairn,Cilymaenllwyd,"51°54′13″N 4°42′19″W﻿ / ﻿51.9037°N 4.7054°W, SN139262"
Crugiau Round Barrows,Round barrow,Clynderwen,"51°51′08″N 4°43′38″W﻿ / ﻿51.8523°N 4.7271°W, SN122205"
Banc Crucorford round cairn,Round cairn,Cwmamman,"51°49′32″N 3°55′53″W﻿ / ﻿51.8256°N 3.9313°W, SN670158"
Bancbryn cairn cemetery,Round cairn,Cwmamman,"51°46′30″N 3°54′17″W﻿ / ﻿51.7751°N 3.9048°W, SN686102"
Bancbryn cairn cemetery [east],Round cairn,Cwmamman,"51°46′21″N 3°53′49″W﻿ / ﻿51.7726°N 3.897°W, SN692099"
Bancbryn platform cairn,Platform Cairn,Cwmamman,"51°46′24″N 3°54′03″W﻿ / ﻿51.7732°N 3.9008°W, SN689099"
Bodyst-uchaf ring cairn,Ring cairn,Cwmamman,"51°47′30″N 3°56′24″W﻿ / ﻿51.7918°N 3.9401°W, SN662121"
Round Cairns 430m North West of Henrhyd,Round cairn,Cwmamman,"51°46′32″N 3°55′46″W﻿ / ﻿51.7756°N 3.9294°W, SN669103"
Carn Wen Round Barrow,Round barrow,Cynwyl Elfed,"51°58′52″N 4°19′57″W﻿ / ﻿51.9811°N 4.3326°W, SN398339"
Crug Bach Round Barrow,Round barrow,Cynwyl Elfed,"51°58′40″N 4°20′24″W﻿ / ﻿51.9779°N 4.3399°W, SN393336"
Crug Fach Round Barrow,Round barrow,Cynwyl Elfed,"51°57′31″N 4°20′09″W﻿ / ﻿51.9586°N 4.3357°W, SN396314"
Crug Glas Round Barrow,Round barrow,Cynwyl Elfed,"51°58′36″N 4°20′38″W﻿ / ﻿51.9767°N 4.3438°W, SN391334"
Crug Ieuan Round Barrow,Round barrow,Cynwyl Elfed,"51°57′14″N 4°27′25″W﻿ / ﻿51.9539°N 4.457°W, SN312312"
Nant-Gronw Round Barrows,Round barrow,Cynwyl Elfed,"51°58′07″N 4°23′09″W﻿ / ﻿51.9687°N 4.3858°W, SN362327"
Banc Maes-yr-Haidd barrows,Round barrow,Cynwyl Gaeo,"52°04′12″N 3°54′14″W﻿ / ﻿52.0699°N 3.9039°W, SN696429"
Bryn Bedd round barrow,Round barrow,Cynwyl Gaeo,"52°06′33″N 3°56′30″W﻿ / ﻿52.1091°N 3.9416°W, SN671474"
Cairn Groups on Garn Fawr,Ring cairn,Cynwyl Gaeo,"52°06′56″N 3°51′47″W﻿ / ﻿52.1156°N 3.863°W, SN725480"
Carn Fawr Round Cairn,Round cairn,Cynwyl Gaeo,"52°08′05″N 3°56′47″W﻿ / ﻿52.1346°N 3.9463°W, SN668502"
Carn Nant-yr-ast round cairn,Round cairn,Cynwyl Gaeo,"52°07′43″N 3°52′11″W﻿ / ﻿52.1287°N 3.8698°W, SN721494"
Cefn y Bryn Ring Cairn,Ring cairn,Cynwyl Gaeo,"52°04′21″N 3°52′50″W﻿ / ﻿52.0724°N 3.8805°W, SN712432"
Craig Twrch round cairn,Round cairn,Cynwyl Gaeo,"52°07′26″N 3°57′25″W﻿ / ﻿52.124°N 3.957°W, SN661491"
Esgair Ffraith Round Cairns,Round cairn,Cynwyl Gaeo,"52°06′57″N 3°58′33″W﻿ / ﻿52.1158°N 3.9757°W, SN648482"
Pen Cerrigdiddos Round Cairns,Round barrow,Cynwyl Gaeo,"52°04′29″N 3°52′49″W﻿ / ﻿52.0747°N 3.8802°W, SN712434"
Burnt Mound 450m ENE of Caeglas Farm,Burnt mound,Dyffryn Cennen,"51°52′12″N 3°59′06″W﻿ / ﻿51.8701°N 3.985°W, SN634209"
Tair Carn Isaf Cairns,Round cairn,Dyffryn Cennen,"51°50′01″N 3°54′45″W﻿ / ﻿51.8336°N 3.9125°W, SN683167"
Two Burnt Mounds 350m W of Cwrtbrynbeirdd,Burnt mound,Dyffryn Cennen,"51°50′46″N 3°56′12″W﻿ / ﻿51.8461°N 3.9368°W, SN666181"
Castle Heli Mound,Round barrow,Eglwyscummin,"51°45′51″N 4°37′09″W﻿ / ﻿51.7641°N 4.6193°W, SN193105"
"Garness Farm, round barrow 400m to SW of",Round barrow,Eglwyscummin,"51°44′26″N 4°35′23″W﻿ / ﻿51.7406°N 4.5897°W, SN212078"
Ring Cairn 120m NE of Heol Ddu,Ring cairn,Gorslas,"51°49′00″N 4°07′04″W﻿ / ﻿51.8166°N 4.1179°W, SN541152"
Crug Elwin Round Barrow,Round barrow,Llanboidy,"51°55′49″N 4°34′07″W﻿ / ﻿51.9304°N 4.5687°W, SN234288"
Crug Hywel Round Barrow,Round barrow,Llanboidy,"51°54′31″N 4°35′52″W﻿ / ﻿51.9087°N 4.5978°W, SN214265"
Lan Round Barrows,Round barrow,Llanboidy,"51°53′29″N 4°36′24″W﻿ / ﻿51.8914°N 4.6067°W, SN207246"
Pant-Glas Round Barrow,Round barrow,Llanboidy,"51°54′18″N 4°35′47″W﻿ / ﻿51.9049°N 4.5964°W, SN214261"
Two Round Barrows near Crossroads N of Eglwsfair-a-Churig Church,Round barrow,Llanboidy,"51°54′43″N 4°36′59″W﻿ / ﻿51.9119°N 4.6163°W, SN201269"
Arhosfa'r Garreg-lwyd barrow,Round barrow,Llanddeusant,"51°55′21″N 3°44′58″W﻿ / ﻿51.9224°N 3.7494°W, SN797263"
Carn y Gigfran,Round cairn,Llanddeusant,"51°52′55″N 3°46′37″W﻿ / ﻿51.8819°N 3.777°W, SN777218"
Carnau'r Gareg Las,Round cairn,Llanddeusant,"51°52′04″N 3°46′38″W﻿ / ﻿51.8677°N 3.7772°W, SN777202"
Cilgerddan ring cairn,Ring cairn,Llanddeusant,"51°55′21″N 3°48′48″W﻿ / ﻿51.9225°N 3.8134°W, SN753264"
Picws Du cairn,Round cairn,Llanddeusant,"51°52′57″N 3°43′40″W﻿ / ﻿51.8826°N 3.7278°W, SN811218"
Stone Setting on Waun Llwyd,Stone circle,Llanddeusant,"51°54′19″N 3°44′00″W﻿ / ﻿51.9052°N 3.7333°W, SN808243"
Two Cairns on Fan Foel,Round cairn,Llanddeusant,"51°53′14″N 3°42′50″W﻿ / ﻿51.8871°N 3.7138°W, SN821223"
Castle-Lloyd Round Barrow,Round barrow,Llanddowror,"51°45′50″N 4°32′48″W﻿ / ﻿51.7639°N 4.5466°W, SN243103"
Little Mountain Round Barrow,Round barrow,Llanddowror,"51°46′08″N 4°30′49″W﻿ / ﻿51.769°N 4.5135°W, SN266108"
Group of Burnt Mounds 300m SSW of Cilcoll Farm,Burnt mound,Llandybie,"51°49′19″N 3°59′46″W﻿ / ﻿51.8219°N 3.9961°W, SN625155"
Two Burnt Mounds 600m ESE of Rhyd-y-Ffynnon Farm,Burnt mound,Llandybie,"51°50′53″N 4°00′45″W﻿ / ﻿51.8481°N 4.0125°W, SN614185"
Crugiau Round Barrows,Round cairn,Llanegwad,"51°56′07″N 4°11′00″W﻿ / ﻿51.9352°N 4.1832°W, SN500285"
Ffynnon-Newydd Standing Stones,Henge,Llanegwad,"51°52′07″N 4°11′17″W﻿ / ﻿51.8687°N 4.1881°W, SN494211"
Maes y Crug round barrow,Round barrow,Llanegwad,"51°51′55″N 4°11′10″W﻿ / ﻿51.8654°N 4.1862°W, SN495207"
"Bryn-Poeth-Uchaf, ring cairn to ESE of",Ring cairn,Llanfair-ar-y-bryn,"52°04′48″N 3°45′06″W﻿ / ﻿52.08°N 3.7516°W, SN800438"
"Bryn-Poeth-Uchaf, ring cairn to NE of",Ring cairn,Llanfair-ar-y-bryn,"52°05′02″N 3°45′15″W﻿ / ﻿52.084°N 3.7541°W, SN799443"
Carn Twrch round cairn,Round cairn,Llanfair-ar-y-bryn,"52°06′08″N 3°44′55″W﻿ / ﻿52.1021°N 3.7485°W, SN803463"
Carn Wen round cairn,Round cairn,Llanfair-ar-y-bryn,"52°05′34″N 3°45′21″W﻿ / ﻿52.0927°N 3.7557°W, SN798452"
Cerrig Cedny round cairn,Round cairn,Llanfair-ar-y-bryn,"52°06′14″N 3°45′05″W﻿ / ﻿52.104°N 3.7513°W, SN801465"
"Nant Gwyn, round cairn and standing stone to S of",Round cairn,Llanfair-ar-y-bryn,"52°04′21″N 3°45′43″W﻿ / ﻿52.0726°N 3.7619°W, SN793430"
Stone Circle 200m SW of Cerrig Cynant,Stone circle,Llanfair-ar-y-bryn,"52°04′57″N 3°45′03″W﻿ / ﻿52.0826°N 3.7509°W, SN801441"
Burnt Mound 250m S of Cwm,Burnt mound,Llanfihangel Aberbythych,"51°51′00″N 4°00′56″W﻿ / ﻿51.8501°N 4.0156°W, SN612187"
Cairn 150m ESE of Garnbig,Round cairn,Llanfihangel Aberbythych,"51°49′23″N 4°03′26″W﻿ / ﻿51.823°N 4.0572°W, SN583158"
Crug y Biswal Round Barrow,Round barrow,Llanfihangel Rhos-y-Corn,"52°01′39″N 4°09′44″W﻿ / ﻿52.0276°N 4.1622°W, SN517387"
Crugiau Edryd Round Barrows,Round barrow,Llanfihangel Rhos-y-Corn,"52°02′03″N 4°08′15″W﻿ / ﻿52.0343°N 4.1374°W, SN534394"
Mynydd Llanfihangel Rhos-y-Corn Round Barrow,Round barrow,Llanfihangel Rhos-y-Corn,"51°59′51″N 4°10′58″W﻿ / ﻿51.9974°N 4.1829°W, SN502354"
"Crug 460m WSW of Brynamlwg, Pencader",Ring cairn,Llanfihangel-ar-Arth,"52°00′06″N 4°17′17″W﻿ / ﻿52.0017°N 4.288°W, SN430361"
"Crug y Bedw, S of Blaen-Rhyd-Fedw",Round barrow,Llanfihangel-ar-Arth,"51°59′49″N 4°11′36″W﻿ / ﻿51.9969°N 4.1932°W, SN495354"
Crugiau Rhos-Wen,Round barrow,Llanfihangel-ar-Arth,"51°58′44″N 4°12′58″W﻿ / ﻿51.9789°N 4.2162°W, SN478334"
"Crugyn Amlwg, Mynydd Trebeddau",Round barrow,Llanfihangel-ar-Arth,"51°59′12″N 4°12′22″W﻿ / ﻿51.9868°N 4.206°W, SN486343"
Carreg Castell-y-Gwynt Burial Chamber,Round cairn,Llanfynydd,"51°57′16″N 4°06′34″W﻿ / ﻿51.9545°N 4.1095°W, SN551305"
Y Garn Ring Cairn,Ring cairn,Llanfynydd,"51°57′29″N 4°05′42″W﻿ / ﻿51.958°N 4.0951°W, SN561309"
Burnt Mound 500m ESE of Llwyn Wennol,Burnt mound,Llangadog,"51°52′28″N 3°48′31″W﻿ / ﻿51.8745°N 3.8086°W, SN755210"
Carn Pen-Rhiw-Ddu,Round cairn,Llangadog,"51°51′15″N 3°50′57″W﻿ / ﻿51.8542°N 3.8491°W, SN727189"
Carn Pen-y-Clogau,Round cairn,Llangadog,"51°51′04″N 3°51′51″W﻿ / ﻿51.8512°N 3.8642°W, SN716185"
Tair Carn Uchaf Cairns,Round cairn,Llangadog,"51°50′23″N 3°53′52″W﻿ / ﻿51.8397°N 3.8977°W, SN693173"
Trichrug round cairns,Round cairn,Llangadog,"51°53′23″N 3°53′29″W﻿ / ﻿51.8898°N 3.8914°W, SN699229"
Crug Perfa Round Barrow,Round barrow,Llangeler,"51°58′53″N 4°23′44″W﻿ / ﻿51.9813°N 4.3955°W, SN355341"
Crug Tarw,Round barrow,Llangeler,"51°59′13″N 4°22′21″W﻿ / ﻿51.9869°N 4.3724°W, SN371347"
Crug y Gorllwyn Round Barrow,Round barrow,Llangeler,"51°58′55″N 4°24′10″W﻿ / ﻿51.982°N 4.4029°W, SN350342"
Nant Sais Round Barrow,Round barrow,Llangeler,"51°58′46″N 4°24′48″W﻿ / ﻿51.9794°N 4.4132°W, SN343339"
Round Cairns & Standing Stone SW of Blaen-Nant-Rhys,Round cairn,Llangeler,"51°59′59″N 4°19′02″W﻿ / ﻿51.9996°N 4.3171°W, SN410359"
Crug-y-rhud-hir round barrow,Round barrow,Llanllawddog,"51°55′18″N 4°13′13″W﻿ / ﻿51.9218°N 4.2202°W, SN474271"
Crugiau Leir Round Barrows,Round barrow,Llanllwni,"52°00′44″N 4°11′06″W﻿ / ﻿52.0123°N 4.185°W, SN501371"
Derlwyn round barrow cemetery,Round barrow,Llanllwni,"52°02′49″N 4°09′41″W﻿ / ﻿52.0469°N 4.1615°W, SN518409"
Ring Cairn 50m North of Crug y Biswal,Round cairn,Llanllwni,"52°01′41″N 4°09′44″W﻿ / ﻿52.0281°N 4.1622°W, SN517388"
Banc Round Barrow,Round barrow,Llanpumsaint,"51°55′15″N 4°19′15″W﻿ / ﻿51.9209°N 4.3209°W, SN404272"
Bwlch-Bychan Round Barrow,Round barrow,Llanpumsaint,"51°55′30″N 4°19′09″W﻿ / ﻿51.9249°N 4.3191°W, SN406276"
Crug Gwyn Round Barrow,Round barrow,Llanpumsaint,"51°57′50″N 4°19′46″W﻿ / ﻿51.9638°N 4.3294°W, SN400320"
Crugiau Fach Round Barrows,Round barrow,Llanpumsaint,"51°58′09″N 4°19′24″W﻿ / ﻿51.9691°N 4.3233°W, SN405326"
Gilfach-Fach Round Barrow,Round barrow,Llanpumsaint,"51°58′21″N 4°19′09″W﻿ / ﻿51.9725°N 4.3193°W, SN407329"
Mynydd Llansadwrn ring cairn,Ring cairn,Llansadwrn,"51°59′40″N 3°54′45″W﻿ / ﻿51.9944°N 3.9124°W, SN687346"
Crug y Bwdran,Round barrow,Llanybydder,"52°02′09″N 4°06′22″W﻿ / ﻿52.0357°N 4.106°W, SN556395"
Pen Lan round barrow cemetery,Round barrow,Llanybydder,"52°04′15″N 4°07′30″W﻿ / ﻿52.0709°N 4.1251°W, SN544435"
Three Round Cairns SE of Blaen Carreg,Round cairn,Llanybydder,"52°04′38″N 4°06′45″W﻿ / ﻿52.0771°N 4.1125°W, SN553441"
Careg-y-Bwci,Round barrow,Llanycrwys,"52°06′46″N 3°58′44″W﻿ / ﻿52.1129°N 3.979°W, SN645479"
Mynydd Myddfai ring cairn,Ring cairn,Myddfai,"51°57′23″N 3°43′52″W﻿ / ﻿51.9563°N 3.731°W, SN811300"
Mynydd Myddfai round barrow,Round barrow,Myddfai,"51°57′09″N 3°44′19″W﻿ / ﻿51.9526°N 3.7386°W, SN806296"
Mynydd Myddfai round cairn,Round cairn,Myddfai,"51°56′36″N 3°45′01″W﻿ / ﻿51.9433°N 3.7504°W, SN797286"
"Mynydd Myddfai, ring cairns on W end of",Ring cairn,Myddfai,"51°56′44″N 3°45′17″W﻿ / ﻿51.9455°N 3.7548°W, SN794289"
Pen Caenewydd ring cairn,Ring cairn,Myddfai,"51°56′47″N 3°45′34″W﻿ / ﻿51.9463°N 3.7594°W, SN791289"
Tomen y Rhos round cairn,Round cairn,Myddfai,"51°57′15″N 3°44′07″W﻿ / ﻿51.9543°N 3.7352°W, SN808298"
Burnt Mound West of Derllys Court,Burnt mound,Newchurch and Merthyr,"51°51′22″N 4°23′38″W﻿ / ﻿51.8561°N 4.394°W, SN352202"
Garn-Fawr Tumuli & Enclosure,Round barrow,Newchurch and Merthyr,"51°53′36″N 4°19′53″W﻿ / ﻿51.8932°N 4.3313°W, SN396241"
Gelli Dewi Uchaf linear round barrow cemetery,Round barrow,Pencarreg,"52°04′28″N 4°03′22″W﻿ / ﻿52.0745°N 4.0561°W, SN591437"
Carn Fadog round cairn,Round cairn,Quarter Bach,"51°50′24″N 3°47′20″W﻿ / ﻿51.8399°N 3.7888°W, SN768172"
Bryn Helyg Round Barrow,Round barrow,St Clears,"51°48′25″N 4°28′17″W﻿ / ﻿51.807°N 4.4715°W, SN297149"
Eithin Bach round barrow,Round barrow,St Clears,"51°48′54″N 4°30′13″W﻿ / ﻿51.815°N 4.5036°W, SN275158"
Round Barrow 330m SW of Mynydd-Uchaf,Round barrow,St Ishmael,"51°45′55″N 4°19′56″W﻿ / ﻿51.7652°N 4.3321°W, SN391099"
Crug Ebolion,Round barrow,Trelech,"51°57′28″N 4°31′10″W﻿ / ﻿51.9578°N 4.5194°W, SN269318"
Crug Glas Round Barrow,Round barrow,Trelech,"51°57′19″N 4°28′44″W﻿ / ﻿51.9554°N 4.4789°W, SN297314"
Crug y Deyrn Burial Chamber,Round barrow,Trelech,"51°53′51″N 4°28′54″W﻿ / ﻿51.8974°N 4.4817°W, SN293250"
Garreg Wen round barrow,Round barrow,Trelech,"51°57′39″N 4°29′18″W﻿ / ﻿51.9608°N 4.4882°W, SN291320"
Trichrug Round Barrows,Round barrow,Trelech,"51°57′25″N 4°28′57″W﻿ / ﻿51.957°N 4.4826°W, SN295316"
Defended Enclosure 300m W of Pant-glas,Promontory fort - inland,Abergwili,"51°54′09″N 4°13′20″W﻿ / ﻿51.9026°N 4.2222°W, SN472250"
Merlins Hill Hillfort,Hillfort,Abergwili,"51°52′15″N 4°14′46″W﻿ / ﻿51.8707°N 4.246°W, SN454215"
Pen y Gaer Hillfort,Hillfort,Abernant,"51°52′58″N 4°23′24″W﻿ / ﻿51.8827°N 4.3901°W, SN355231"
Defended Enclosure 350m S of Clungwyn,Enclosure - Defensive,Bronwydd,"51°53′14″N 4°18′36″W﻿ / ﻿51.8872°N 4.3101°W, SN411234"
Y Gaer Defended Enclosure,Enclosure - Defensive,Cefn Sidan,"51°41′27″N 4°14′27″W﻿ / ﻿51.6907°N 4.2409°W, SN452014"
Defended Enclosure 300m NW of Closbach,Promontory fort - inland,Cilymaenllwyd,"51°51′52″N 4°41′39″W﻿ / ﻿51.8644°N 4.6943°W, SN145218"
Earthworks SE of Clyn-Derwen,Enclosure,Clynderwen,"51°50′15″N 4°43′32″W﻿ / ﻿51.8374°N 4.7255°W, SN123189"
Llandre Entrenchment,Enclosure,Clynderwen,"51°50′55″N 4°46′04″W﻿ / ﻿51.8486°N 4.7678°W, SN094202"
Portis-Parc Camp,Enclosure,Clynderwen,"51°52′30″N 4°42′55″W﻿ / ﻿51.875°N 4.7153°W, SN131230"
Garreg Las Hut Group,Enclosed hut circle,Dyffryn Cennen,"51°50′29″N 3°55′44″W﻿ / ﻿51.8414°N 3.9288°W, SN672176"
Pen-Coed Camp,Promontory fort - inland,Eglwyscummin,"51°47′10″N 4°32′44″W﻿ / ﻿51.7861°N 4.5456°W, SN245127"
"The Castle, Woodreefe",Promontory fort - inland,Eglwyscummin,"51°44′45″N 4°37′53″W﻿ / ﻿51.7459°N 4.6314°W, SN184085"
Top Castle,Ringwork,Eglwyscummin,"51°44′20″N 4°36′58″W﻿ / ﻿51.739°N 4.6162°W, SN194077"
Llangan Church Cropmark Enclosure,Enclosure,Henllanfallteg,"51°50′12″N 4°38′48″W﻿ / ﻿51.8368°N 4.6468°W, SN177186"
Hillslope Enclosure E of Glan y Mor,Enclosure,Laugharne Township,"51°46′25″N 4°27′23″W﻿ / ﻿51.7736°N 4.4563°W, SN306111"
Gelli Diogyn Hillfort,Hillfort,Llanboidy,"51°51′44″N 4°37′03″W﻿ / ﻿51.8623°N 4.6176°W, SN198214"
Hafod Camp,Promontory fort - inland,Llanboidy,"51°52′22″N 4°35′24″W﻿ / ﻿51.8729°N 4.5899°W, SN218225"
Pen-Gaer Promontory fort,Promontory fort - inland,Llanboidy,"51°53′10″N 4°38′32″W﻿ / ﻿51.8862°N 4.6421°W, SN182241"
Castle-Lloyd Camp,Promontory fort - inland,Llanddowror,"51°45′17″N 4°33′00″W﻿ / ﻿51.7547°N 4.5499°W, SN240092"
Pant-Glas Camp,Promontory fort - inland,Llanddowror,"51°45′49″N 4°31′27″W﻿ / ﻿51.7637°N 4.5243°W, SN258102"
Parc-Cynog Camp,Promontory fort - inland,Llanddowror,"51°45′35″N 4°31′50″W﻿ / ﻿51.7596°N 4.5305°W, SN254097"
Ynys-y-Borde Earthwork,Enclosure,Llandovery,"51°59′52″N 3°45′35″W﻿ / ﻿51.9978°N 3.7597°W, SN792347"
Allt-y-Ferin Mound and Bailey Castle,Hillfort,Llanegwad,"51°53′18″N 4°08′57″W﻿ / ﻿51.8884°N 4.1491°W, SN521232"
Cefn Pal Defended Enclosure,Enclosure - Defensive,Llanfair-ar-y-Bryn,"52°01′41″N 3°44′48″W﻿ / ﻿52.028°N 3.7467°W, SN802380"
Pen y Garn Camp,Hillfort,Llanfihangel Aberbythych,"51°51′05″N 4°04′06″W﻿ / ﻿51.8513°N 4.0684°W, SN576189"
Craig Gwrtheyrn,Hillfort,Llanfihangel-ar-Arth,"52°02′19″N 4°17′09″W﻿ / ﻿52.0386°N 4.2858°W, SN433402"
Dyffryn Camp,Hillfort,Llanfynydd,"51°55′06″N 4°07′23″W﻿ / ﻿51.9184°N 4.1231°W, SN540265"
Cwmdu Defended Enclosure,Enclosure - Defensive,Llangadog,"51°53′39″N 3°55′04″W﻿ / ﻿51.8941°N 3.9178°W, SN681234"
Garn Goch Camps,Hillfort,Llangadog,"51°54′06″N 3°54′22″W﻿ / ﻿51.9018°N 3.9061°W, SN689243"
Llwyn Du Camp,Hillfort,Llangadog,"51°54′12″N 3°55′14″W﻿ / ﻿51.9034°N 3.9205°W, SN679245"
Grongaer,Hillfort,Llangathen,"51°52′29″N 4°04′24″W﻿ / ﻿51.8747°N 4.0734°W, SN573216"
Defended Enclosure 500m NNE of Blaen-maenog,Promontory fort - inland,Llangeler,"51°59′42″N 4°23′11″W﻿ / ﻿51.995°N 4.3864°W, SN362356"
Panthir Defended Enclosure,Enclosure - Defensive,Llangeler,"51°58′47″N 4°22′20″W﻿ / ﻿51.9798°N 4.3721°W, SN371339"
